A♣2♣3♣    !
A♣2♣4♣    !!
A♣2♣5♣    """"
A♣2♣6♣    #
A♣2♣A♦    ##
A♣2♣2♦    $
A♣2♣3♦    $$
A♣2♣4♦    %
A♣2♣5♦    %%
A♣2♣6♦    &
A♣2♣A♥    (
A♣2♣2♥    ()
A♣2♣3♥    (c)
A♣2♣4♥    (r)
A♣2♣5♥    (tm)
A♣2♣6♥    )
A♣2♣A♠    *
A♣2♣2♠    **
A♣2♣3♠    +
A♣2♣4♠    -
A♣2♣5♠    0
A♣2♣6♠    007
A♣3♣2♣    1
A♣3♣4♣    1%
A♣3♣5♣    1/2
A♣3♣6♣    1/3
A♣3♣A♦    1/4
A♣3♣2♦    1/8
A♣3♣3♦    10
A♣3♣4♦    10%
A♣3♣5♦    100
A♣3♣6♦    100%
A♣3♣A♥    1000
A♣3♣2♥    100th
A♣3♣3♥    101
A♣3♣4♥    1013
A♣3♣5♥    1019
A♣3♣6♥    101st
A♣3♣A♠    1031
A♣3♣2♠    1049
A♣3♣3♠    10:00
A♣3♣4♠    10:30
A♣3♣5♠    10th
A♣3♣6♠    11
A♣4♣2♣    1103
A♣4♣3♣    111
A♣4♣5♣    1111
A♣4♣6♣    11:00
A♣4♣A♦    11:30
A♣4♣2♦    11th
A♣4♣3♦    12
A♣4♣4♦    1223
A♣4♣5♦    123
A♣4♣6♦    1234
A♣4♣A♥    1289
A♣4♣2♥    12:00
A♣4♣3♥    12:30
A♣4♣4♥    12th
A♣4♣5♥    13
A♣4♣6♥    13th
A♣4♣A♠    14
A♣4♣2♠    1409
A♣4♣3♠    1492
A♣4♣4♠    14th
A♣4♣5♠    15
A♣4♣6♠    15%
A♣5♣2♣    1500
A♣5♣3♣    1511
A♣5♣4♣    1559
A♣5♣6♣    15th
A♣5♣A♦    16
A♣5♣2♦    1600
A♣5♣3♦    1601
A♣5♣4♦    16th
A♣5♣5♦    17
A♣5♣6♦    1700
A♣5♣A♥    1733
A♣5♣2♥    1776
A♣5♣3♥    17th
A♣5♣4♥    18
A♣5♣5♥    1800
A♣5♣6♥    1811
A♣5♣A♠    1889
A♣5♣2♠    18th
A♣5♣3♠    19
A♣5♣4♠    1900
A♣5♣5♠    1901
A♣5♣6♠    1910
A♣6♣2♣    1920
A♣6♣3♣    1925
A♣6♣4♣    1930
A♣6♣5♣    1931
A♣6♣A♦    1935
A♣6♣2♦    1940
A♣6♣3♦    1945
A♣6♣4♦    1950
A♣6♣5♦    1955
A♣6♣6♦    1960
A♣6♣A♥    1965
A♣6♣2♥    1970
A♣6♣3♥    1973
A♣6♣4♥    1975
A♣6♣5♥    1980
A♣6♣6♥    1985
